n_moves	norm_mut_info	n_clusters	random_sampling	greedy	optimality_decrease
0	0.34559202994421034	2	True	True	0.95
1	0.8164965809277259	3	True	True	0.95
2	0.9999999999999997	2	True	True	0.95
4	0.9250361203017071	3	True	False	0.95
5	0.8647432698498081	4	True	False	0.95
6	0.8157010472288058	5	True	False	0.95
7	0.790135063062486	6	True	False	0.95
8	0.7331141042585405	7	True	False	0.95
9	0.7665877117296468	6	True	False	0.95
10	0.692258347059654	7	True	False	0.95
11	0.6539522775668141	8	True	False	0.95
12	0.6764845027287024	7	True	False	0.95
13	0.7191562763217881	6	True	False	0.95
14	0.7372427517418955	5	True	False	0.99
15	0.7970002287221044	4	True	False	0.99
16	0.8434572803612748	3	True	False	0.99
17	1.0	2	True	False	0.99
18	0.9533277626331602	3	True	False	0.99
19	0.9999999999999997	2	True	False	0.99
20	0.9533277626331602	3	True	False	0.99
21	0.9999999999999997	2	True	False	0.99
22	0.9533277626331602	3	True	False	0.99
23	0.9999999999999997	2	True	False	0.99
