n_moves	norm_mut_info	n_clusters	random_sampling	greedy	optimality_decrease
0	0.11137807171068341	2	True	True	0.95
1	0.45578475077313346	3	True	True	0.95
2	0.4645160590029887	4	True	True	0.95
3	0.4731735285487902	5	True	True	0.95
4	0.5495588873905565	6	True	True	0.95
5	0.6056911405420576	7	True	True	0.95
6	0.640219800933859	8	True	True	0.95
8	0.6415149656008462	9	True	False	0.95
9	0.6477917504833989	10	True	False	0.95
10	0.6539723139710258	11	True	False	0.95
11	0.6555024428092535	12	True	False	0.95
12	0.6492592964751767	11	True	False	0.95
13	0.6482882743195278	10	True	False	0.95
14	0.6544634626781347	11	True	False	0.95
15	0.5906821499317719	10	True	False	0.95
16	0.5829044427906346	9	True	False	0.95
17	0.5906821499317719	10	True	False	0.95
18	0.6590226727355618	11	True	False	0.99
19	0.6649237534277677	12	True	False	0.99
20	0.7150945711945049	13	True	False	0.99
21	0.7137742736687814	12	True	False	0.99
22	0.7512293469470283	13	True	False	0.99
23	0.7758759981898748	14	True	False	0.99
24	0.7751982622921907	13	True	False	0.99
25	0.7762910796056184	14	True	False	0.99
26	0.7774398926986316	15	True	False	0.99
27	0.7782281167137735	16	True	False	0.99
28	0.7794795647552577	17	True	False	0.998
29	0.7931021433821304	18	True	False	0.998
30	0.7912430796358317	19	True	False	0.998
31	0.8030050185253224	20	True	False	0.998
32	0.8048506684024375	19	True	False	0.998
33	0.8164333464196911	20	True	False	0.998
34	0.8278569135975842	21	True	False	0.998
35	0.8407101708896503	22	True	False	0.998
36	0.8398130268260091	23	True	False	0.998
37	0.841626885260175	24	True	False	0.998
39	0.8579214393338381	25	False		
40	0.8587761289012935	24	False		
41	0.8596711575099855	23	False		
42	0.8606078935715945	22	False		
43	0.8608556521524198	23	False		
