n_moves	norm_mut_info	n_clusters	random_sampling	greedy	optimality_decrease
0	0.15418575564291048	2	True	True	0.95
1	0.5116120550513522	3	True	True	0.95
2	0.6150770181661087	4	True	True	0.95
3	0.6573658882695305	5	True	True	0.95
4	0.6735198826004061	6	True	True	0.95
5	0.6846531968814581	5	True	True	0.95
6	0.6929207109155977	6	True	True	0.95
7	0.772568254813304	7	True	True	0.95
8	0.8066663669963293	8	True	True	0.95
9	0.8198915917499234	9	True	True	0.95
10	0.8291561975888502	8	True	True	0.95
12	0.8198915917499232	9	True	False	0.95
13	0.8168953385993372	10	True	False	0.95
14	0.7975763777313227	9	True	False	0.95
15	0.7957020927635615	10	True	False	0.95
16	0.7940509461182658	11	True	False	0.95
17	0.7919014568299674	12	True	False	0.95
18	0.7377007526188952	11	True	False	0.95
19	0.7411426895315589	12	True	False	0.95
20	0.6473519382012206	11	True	False	0.95
21	0.6309137102274484	10	True	False	0.95
22	0.6637676722840696	11	True	False	0.99
23	0.6725308382314025	10	True	False	0.99
24	0.6747220526760349	11	True	False	0.99
25	0.6793816350633527	12	True	False	0.99
26	0.677167271901508	11	True	False	0.99
27	0.7073518808500685	12	True	False	0.99
28	0.7229888719014161	13	True	False	0.99
29	0.7246314923412205	12	True	False	0.99
30	0.7335512653790552	13	True	False	0.99
31	0.7347700825294652	14	True	False	0.99
32	0.7381939954695628	15	True	False	0.998
33	0.7393816672664345	16	True	False	0.998
34	0.7357293196164404	17	True	False	0.998
35	0.7369931124352256	18	True	False	0.998
36	0.7382111070070351	19	True	False	0.998
37	0.7509801701374443	20	True	False	0.998
38	0.7809231255142488	21	True	False	0.998
39	0.8126276893025333	22	True	False	0.998
40	0.8099775433903252	23	True	False	0.998
41	0.8091444228331097	24	True	False	0.998
43	0.8250103755364611	25	False		
44	0.837491940039824	26	False		
45	0.849808234909083	27	False		
46	0.856779439232879	28	False		
47	0.8628501324642158	27	False		
48	0.8690517230667945	26	False		
49	0.874497044274328	27	False		
50	0.8916905527088718	28	False		
51	0.8966786495489177	27	False		
52	0.9009785816560797	26	False		
53	0.9043173613474338	25	False		
54	0.9087885439139577	24	False		
55	0.9120660581124382	23	False		
56	0.9153792907455444	22	False		
57	0.9189466404803277	21	False		
