n_moves	norm_mut_info	n_clusters	random_sampling	greedy	optimality_decrease
0	0.28155479920427035	2	True	True	0.95
1	0.6892397346775352	3	True	True	0.95
2	0.8017837257372727	4	True	True	0.95
3	0.8660254037844384	3	True	True	0.95
5	0.829275939425152	4	True	False	0.95
6	0.8193562390259571	5	True	False	0.95
7	0.8029418292211826	6	True	False	0.95
8	0.7880315765873288	7	True	False	0.95
9	0.765346341298938	8	True	False	0.95
10	0.8631928928984116	9	True	False	0.95
11	0.8506914842627208	10	True	False	0.95
12	0.8389955040366543	11	True	False	0.95
13	0.8593141521134234	10	True	False	0.95
14	0.7411653631828252	9	True	False	0.95
15	0.7479983094984322	8	True	False	0.99
16	0.7945047342222178	7	True	False	0.99
17	0.8122621964352121	6	True	False	0.99
18	0.8312781894117183	5	True	False	0.99
19	0.8089164195087916	6	True	False	0.99
20	0.8312781894117183	5	True	False	0.99
21	0.8473810223376718	4	True	False	0.99
22	0.8660254037844383	3	True	False	0.99
23	0.8473810223376718	4	True	False	0.99
24	0.8229480463288223	5	True	False	0.99
25	0.9491123309837	6	True	False	0.998
26	0.9795633724511823	5	True	False	0.998
27	0.9999999999999997	4	True	False	0.998
